Extension (mm),Force (N)
0,0
0.022073305,1444.3686
0.061608595,3612.5717
0.104380096,5579.6283
0.160175574,6649.4664
0.240813405,6980.4966
0.324212736,7153.2564
0.412121695,7306.0593
0.494089397,7412.361
0.57623419,7510.1076
0.656483974,7609.7597
0.741642714,7697.7145
0.817567483,7806.0539
0.897018611,7877.2406
0.975716207,7966.6187
1.050604973,8046.3216
1.125734765,8132.7365
1.2048807,8214.1972
1.280541811,8287.476
1.358026266,8366.2612
1.4306508,8447.9474
1.508659031,8500.9194
1.581174321,8588.602
1.65254809,8646.6604
1.728175208,8734.3897
1.802091859,8788.925
1.874064654,8852.9098
1.946549863,8926.6086
2.019087784,8979.5417
2.091791295,9040.8977
2.163880877,9112.6522
2.236610837,9161.5332
2.309969999,9213.2142
2.383370698,9281.2277
2.455027029,9337.0773
2.5274029,9401.2177
2.600547299,9438.3859
2.671472728,9472.0621
2.743279748,9530.4783
2.815425768,9579.4605
2.885213494,9625.6584
2.960079536,9672.8206
3.030560538,9720.0373
3.102586046,9773.6393
3.174084052,9804.4145
3.244026005,9853.5133
3.316405788,9876.4412
3.387203068,9928.0832
3.456987068,9962.0472
3.530067578,10004.9008
3.601772711,10040.0236
3.6759004,10076.5852
3.745868802,10106.9871
3.815566003,10141.6511
3.887557611,10174.2929
3.958219662,10216.6954
4.030523822,10249.3683
4.103400558,10292.0663
4.174744338,10308.0878
4.245134816,10356.3856
4.319243506,10360.9976
4.391423613,10400.2269
4.463889822,10439.4484
4.534759,10468.3726
4.607609287,10498.5801
4.682939127,10522.1301
4.75288108,10544.8868
4.872526601,10594.3434
5.003862828,10638.6825
5.138367042,10685.4403
5.269450694,10734.1658
5.408720672,10766.131
5.541526154,10804.007
5.670522526,10852.1648
5.804827064,10892.5529
5.946180597,10926.9835
6.083695218,10947.6404
6.223409995,10981.7055
6.353672594,11023.9368
6.489925087,11053.8643
6.627868861,11074.8634
6.772752106,11108.7029
6.912440807,11118.4402
7.059659809,11159.0539
7.198320329,11183.2028
7.346700132,11219.4378
7.489364594,11229.8751
7.637453824,11249.303
7.782518864,11279.4405
7.932993025,11287.5135
8.075544238,11313.2645
8.227646351,11324.4096
8.376470953,11348.4729
8.533127606,11367.9709
8.671957254,11383.9068
8.827261627,11404.2059
8.980749548,11404.8203
9.127275646,11422.2961
9.282271564,11445.9084
9.4421193,11454.028
9.599646181,11468.6729
9.761234373,11481.2178
9.921067208,11475.1359
10.08495018,11495.4427
10.25157571,11503.189
10.42228118,11511.0598
10.58897823,11516.9162
10.7678175,11530.9
10.940101,11524.2969
11.11522615,11534.8509
11.30010039,11533.8243
11.48243248,11543.7794
11.67508662,11545.3426
11.86514571,11538.4907
12.06820235,11547.5281
12.2755684,11544.6816
12.48308495,11553.4856
12.69798279,11544.666
12.93005198,11534.7654
13.16372156,11546.5715
13.41850907,11544.246
13.67823482,11524.5614
13.96066993,11516.9162
14.23159391,11488.9408
14.52472061,11473.0593
14.8320362,11448.4205
15.16147554,11384.2723
15.48309922,11299.9729
15.82753956,11172.9055
16.13315195,11022.0547
16.48869812,10780.9703
16.81372225,10515.3249
